,INVENTORY_YEAR,INVENTORY_MONTH,PRODUCT_NUMBER,INVENTORY_COUNT
0,2023,4,48,1932
1,2023,4,49,1400
2,2023,4,50,21705
3,2023,4,51,9710
4,2023,4,52,5616
5,2023,4,53,7060
6,2023,4,54,6943
7,2023,4,55,4432
8,2023,4,56,14188
9,2023,4,57,1599
10,2023,4,58,1645
11,2023,4,59,749
12,2023,4,60,8419
13,2023,4,61,7175
14,2023,4,62,2428
15,2023,4,63,2091
16,2023,4,64,4175
17,2023,4,65,1754
18,2023,4,66,576
19,2023,4,67,1354
20,2023,4,68,1576
21,2023,4,69,609
22,2023,4,70,803
23,2023,4,71,1009
24,2023,4,72,1009
25,2023,4,73,1508
26,2023,4,74,2690
27,2023,4,75,2416
28,2023,4,76,1938
29,2023,4,77,2354
30,2023,4,78,1073
31,2023,4,79,733
32,2023,4,80,889
33,2023,4,81,573
34,2023,4,82,2075
35,2023,4,83,2034
36,2023,4,84,-183
37,2023,4,85,1390
38,2023,4,86,17366
39,2023,4,87,19789
40,2023,4,88,18456
41,2023,4,89,21414
42,2023,4,90,29722
43,2023,4,91,14100
44,2023,4,92,6273
45,2023,4,93,17880
46,2023,4,94,26290
47,2023,4,95,20552
48,2023,4,96,3404
49,2023,4,97,1375
50,2023,4,98,9473
51,2023,4,99,4885
52,2023,4,100,11760
53,2023,4,101,985
54,2023,4,102,592
55,2023,4,103,860
56,2023,4,104,833
57,2023,4,105,699
58,2023,4,106,609
59,2023,4,107,869
60,2023,4,108,904
61,2023,4,109,4337
62,2023,4,110,813
63,2023,4,111,662
64,2023,4,112,3610
65,2023,4,113,4663
66,2023,4,114,736
67,2023,4,115,2766
68,2023,5,1,3087
69,2023,5,2,5156
70,2023,5,3,4422
71,2023,5,4,5786
72,2023,5,5,1466
73,2023,5,6,1102
74,2023,5,7,3075
75,2023,5,8,2733
76,2023,5,9,2393
77,2023,5,10,2336
78,2023,5,11,528
79,2023,5,12,996
80,2023,5,13,1058
81,2023,5,14,2816
82,2023,5,15,820
83,2023,5,16,36712
84,2023,5,17,4192
85,2023,5,18,2994
86,2023,5,19,2263
87,2023,5,20,2531
88,2023,5,21,2567
89,2023,5,22,753
90,2023,5,23,737
91,2023,5,24,2456
92,2023,5,25,1995
93,2023,5,26,1896
94,2023,5,27,1938
95,2023,5,28,1909
96,2023,5,29,2944
97,2023,5,30,3088
98,2023,5,31,3328
99,2023,5,32,8827
100,2023,5,33,9951
101,2023,5,34,6282
102,2023,5,35,5405
103,2023,5,36,7031
104,2023,5,37,3587
105,2023,5,38,2069
106,2023,5,39,4174
107,2023,5,40,6908
108,2023,5,41,2425
109,2023,5,42,3139
110,2023,5,43,6445
111,2023,5,44,5530
112,2023,5,45,1630
113,2023,5,46,1792
114,2023,5,47,5737
115,2023,5,48,1978
116,2023,5,49,1288
117,2023,5,50,20355
118,2023,5,51,9930
119,2023,5,52,5840
120,2023,5,53,7510
121,2023,5,54,7235
122,2023,5,55,4722
123,2023,5,56,13708
124,2023,5,57,1685
125,2023,5,58,1879
126,2023,5,59,1005
127,2023,5,60,10175
128,2023,5,61,7251
129,2023,5,62,2816
130,2023,5,63,2403
131,2023,5,64,4679
132,2023,5,65,2386
133,2023,5,66,680
134,2023,5,67,1530
135,2023,5,68,1690
136,2023,5,69,709
137,2023,5,70,901
138,2023,5,71,1073
139,2023,5,72,1061
140,2023,5,73,1878
141,2023,5,74,2758
142,2023,5,75,2446
143,2023,5,76,2474
144,2023,5,77,2600
145,2023,5,78,997
146,2023,5,79,873
147,2023,5,80,1075
148,2023,5,81,723
149,2023,5,82,2463
150,2023,5,83,2266
151,2023,5,84,-57
152,2023,5,85,1472
153,2023,5,86,16850
154,2023,5,87,19155
155,2023,5,88,17754
156,2023,5,89,20090
157,2023,5,90,28170
158,2023,5,91,12556
159,2023,5,92,5877
160,2023,5,93,16910
161,2023,5,94,24676
162,2023,5,95,18706
163,2023,5,96,3298
164,2023,5,97,1287
165,2023,5,98,9037
166,2023,5,99,4279
167,2023,5,100,11200
168,2023,5,101,941
169,2023,5,102,698
170,2023,5,103,810
171,2023,5,104,789
172,2023,5,105,713
173,2023,5,106,645
174,2023,5,107,829
175,2023,5,108,884
176,2023,5,109,4035
177,2023,5,110,597
178,2023,5,111,556
179,2023,5,112,3466
180,2023,5,113,4199
181,2023,5,114,706
182,2023,5,115,2598
183,2023,6,1,2693
184,2023,6,2,4046
185,2023,6,3,4738
186,2023,6,4,6976
187,2023,6,5,2274
188,2023,6,6,1004
189,2023,6,7,2907
190,2023,6,8,2141
191,2023,6,9,1901
192,2023,6,10,6052
193,2023,6,11,654
194,2023,6,12,1066
195,2023,6,13,1106
196,2023,6,14,3104
197,2023,6,15,600
198,2023,6,16,34978
199,2023,6,17,3958
200,2023,6,18,3228
201,2023,6,19,2159
202,2023,6,20,2053
203,2023,6,21,2425
204,2023,6,22,1385
205,2023,6,23,683
206,2023,6,24,2524
207,2023,6,25,2103
208,2023,6,26,2036
209,2023,6,27,1960
210,2023,6,28,2055
211,2023,6,29,4498
212,2023,6,30,2582
213,2023,6,31,4998
214,2023,6,32,13277
215,2023,6,33,7995
216,2023,6,34,11878
217,2023,6,35,8151
218,2023,6,36,6007
219,2023,6,37,3333
220,2023,6,38,1721
221,2023,6,39,3484
222,2023,6,40,11762
223,2023,6,41,4431
224,2023,6,42,3065
225,2023,6,43,6133
226,2023,6,44,5144
227,2023,6,45,1528
228,2023,6,46,1810
229,2023,6,47,5615
230,2023,6,48,2102
231,2023,6,49,1160
232,2023,6,50,26603
233,2023,6,51,9530
234,2023,6,52,5804
235,2023,6,53,7482
236,2023,6,54,7479
237,2023,6,55,4638
238,2023,6,56,13022
239,2023,6,57,1703
240,2023,6,58,1807
241,2023,6,59,1015
242,2023,6,60,9335
243,2023,6,61,7213
244,2023,6,62,2688
245,2023,6,63,2341
246,2023,6,64,4759
247,2023,6,65,2460
248,2023,6,66,674
249,2023,6,67,1484
250,2023,6,68,1452
251,2023,6,69,823
252,2023,6,70,849
253,2023,6,71,1061
254,2023,6,72,1037
255,2023,6,73,2150
256,2023,6,74,2926
257,2023,6,75,2558
258,2023,6,76,2336
259,2023,6,77,2836
260,2023,6,78,813
261,2023,6,79,875
262,2023,6,80,1101
263,2023,6,81,669
264,2023,6,82,2575
265,2023,6,83,2280
266,2023,6,84,-297
267,2023,6,85,1568
268,2023,6,86,14688
269,2023,6,87,17797
270,2023,6,88,15464
271,2023,6,89,17928
272,2023,6,90,25234
273,2023,6,91,10842
274,2023,6,92,5449
275,2023,6,93,14198
276,2023,6,94,22576
277,2023,6,95,16452
278,2023,6,96,3060
279,2023,6,97,1671
280,2023,6,98,8055
281,2023,6,99,3945
282,2023,6,100,10218
283,2023,6,101,901
284,2023,6,102,664
285,2023,6,103,756
286,2023,6,104,719
287,2023,6,105,577
