PRODUCT_NUMBER,YEAR,MONTH,EXPECTED_VOLUME
45,2023,12,90
46,2023,12,84
47,2023,12,468
48,2023,12,91
49,2023,12,35
50,2023,12,998
51,2023,12,543
52,2023,12,295
53,2023,12,395
54,2023,12,465
55,2023,12,390
56,2023,12,562
57,2023,12,120
58,2023,12,422
59,2023,12,106
60,2023,12,426
61,2023,12,697
62,2023,12,765
63,2023,12,182
64,2023,12,264
65,2023,12,513
66,2023,12,152
67,2023,12,254
68,2023,12,604
69,2023,12,39
70,2023,12,209
71,2023,12,88
72,2023,12,73
73,2023,12,241
74,2023,12,291
75,2023,12,202
76,2023,12,233
77,2023,12,558
78,2023,12,118
79,2023,12,57
80,2023,12,622
81,2023,12,152
82,2023,12,311
83,2023,12,428
84,2023,12,104
85,2023,12,248
86,2023,12,275
88,2023,12,54
89,2023,12,365
90,2023,12,421
91,2023,12,258
92,2023,12,120
93,2023,12,361
94,2023,12,421
95,2023,12,267
96,2023,12,24
97,2023,12,36
98,2023,12,64
99,2023,12,134
100,2023,12,436
101,2023,12,110
102,2023,12,38
103,2023,12,35
104,2023,12,14
105,2023,12,126
106,2023,12,23
107,2023,12,37
108,2023,12,40
109,2023,12,200
110,2023,12,204
111,2023,12,105
112,2023,12,422
113,2023,12,276
114,2023,12,29
1,2023,12,905
2,2023,12,544
3,2023,12,349
4,2023,12,299
5,2023,12,177
6,2023,12,51
7,2023,12,46
8,2023,12,183
9,2023,12,72
10,2023,12,87
11,2023,12,299
12,2023,12,489
13,2023,12,467
14,2023,12,595
15,2023,12,204
16,2023,12,1174
17,2023,12,748
18,2023,12,652
19,2023,12,533
20,2023,12,448
21,2023,12,99
22,2023,12,55
23,2023,12,83
24,2023,12,453
25,2023,12,126
26,2023,12,415
27,2023,12,311
28,2023,12,164
29,2023,12,363
30,2023,12,419
31,2023,12,144
32,2023,12,802
33,2023,12,420
34,2023,12,1130
35,2023,12,610
36,2023,12,298
37,2023,12,324
38,2023,12,141
39,2023,12,251
40,2023,12,1002
41,2023,12,146
42,2023,12,213
43,2023,12,610
44,2023,12,318
115,2023,12,248
63,2022,12,130
64,2022,12,632
65,2022,12,261
66,2022,12,98
67,2022,12,227
68,2022,12,353
69,2022,12,38
70,2022,12,103
71,2022,12,112
72,2022,12,171
73,2022,12,297
74,2022,12,452
75,2022,12,195
76,2022,12,482
77,2022,12,178
78,2022,12,191
79,2022,12,41
80,2022,12,156
81,2022,12,135
82,2022,12,225
83,2022,12,152
84,2022,12,198
85,2022,12,61
86,2022,12,758
87,2022,12,239
88,2022,12,268
89,2022,12,63
90,2022,12,409
91,2022,12,119
92,2022,12,203
93,2022,12,141
94,2022,12,405
95,2022,12,247
96,2022,12,62
97,2022,12,34
98,2022,12,238
99,2022,12,60
100,2022,12,545
101,2022,12,65
102,2022,12,73
103,2022,12,24
104,2022,12,24
105,2022,12,56
106,2022,12,15
107,2022,12,17
108,2022,12,10
109,2022,12,184
110,2022,12,151
111,2022,12,44
112,2022,12,130
113,2022,12,213
114,2022,12,41
115,2022,12,336
1,2022,12,640
2,2022,12,715
3,2022,12,511
4,2022,12,259
5,2022,12,198
6,2022,12,26
7,2022,12,104
8,2022,12,70
9,2022,12,212
10,2022,12,171
11,2022,12,99
12,2022,12,177
13,2022,12,83
14,2022,12,244
15,2022,12,41
16,2022,12,413
